"ticker","company","sector","url"
"LOW","Lowe's Cos.","Consumer Discretionary","http://finance.yahoo.com/q?s=LOW"
"LSI","LSI Corporation","Information Technology","http://finance.yahoo.com/q?s=LSI"
"MTB","MT Bank Corp.","Financials","http://finance.yahoo.com/q?s=MTB"
"M","Macy's Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=M"
"MRO","Marathon Oil Corp.","Energy","http://finance.yahoo.com/q?s=MRO"
"MPC","Marathon Petroleum","Energy","http://finance.yahoo.com/q?s=MPC"
"MAR","Marriott Int'l.","Consumer Discretionary","http://finance.yahoo.com/q?s=MAR"
"MMC","Marsh  McLennan","Financials","http://finance.yahoo.com/q?s=MMC"
"MAS","Masco Corp.","Industrials","http://finance.yahoo.com/q?s=MAS"
"MA","Mastercard Inc.","Information Technology","http://finance.yahoo.com/q?s=MA"
"MAT","Mattel Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=MAT"
"MKC","McCormick  Co.","Consumer Staples","http://finance.yahoo.com/q?s=MKC"
"MCD","McDonald's Corp.","Consumer Discretionary","http://finance.yahoo.com/q?s=MCD"
"MHP","McGraw-Hill","Consumer Discretionary","http://finance.yahoo.com/q?s=MHP"
"MCK","McKesson Corp.","Health Care","http://finance.yahoo.com/q?s=MCK"
"MJN","Mead Johnson","Consumer Staples","http://finance.yahoo.com/q?s=MJN"
"MWV","MeadWestvaco Corporation","Materials","http://finance.yahoo.com/q?s=MWV"
"MDT","Medtronic Inc.","Health Care","http://finance.yahoo.com/q?s=MDT"
"MRK","Merck  Co.","Health Care","http://finance.yahoo.com/q?s=MRK"
"MET","MetLife Inc.","Financials","http://finance.yahoo.com/q?s=MET"
"PCS","MetroPCS Communications Inc.","Telecommunications Services","http://finance.yahoo.com/q?s=PCS"
"MCHP","Microchip Technology","Information Technology","http://finance.yahoo.com/q?s=MCHP"
"MU","Micron Technology","Information Technology","http://finance.yahoo.com/q?s=MU"
"MSFT","Microsoft Corp.","Information Technology","http://finance.yahoo.com/q?s=MSFT"
"MOLX","Molex Inc.","Information Technology","http://finance.yahoo.com/q?s=MOLX"
"TAP","Molson Coors Brewing Company","Consumer Staples","http://finance.yahoo.com/q?s=TAP"
"MON","Monsanto Co.","Materials","http://finance.yahoo.com/q?s=MON"
"MNST","Monster Beverage","Consumer Staples","http://finance.yahoo.com/q?s=MNST"
"MCO","Moody's Corp","Financials","http://finance.yahoo.com/q?s=MCO"
